,edge_id,lane_id,lane_index,lane_length,lane_shape,lane_speed
620,:4/1_9,:4/1_9_0,0,4.82,"641.35,181.65 640.11,180.83 639.70,180.00 640.11,179.18 641.35,178.35",13.90
621,:4/1_8,:4/1_8_0,0,20.97,"641.35,181.65 635.66,180.84 631.60,178.40 629.16,174.34 628.35,168.65",13.90
622,:11/13_21,:11/13_21_0,0,2.41,"1680.00,1989.70 1680.83,1990.11 1681.65,1991.35",13.90
623,:4/1_4,:4/1_4_0,0,7.47,"628.35,191.35 629.16,185.66 630.05,184.18",13.90
624,:11/13_23,:11/13_23_0,0,2.41,"1680.00,1970.30 1679.18,1969.89 1678.35,1968.65",13.90
625,:11/13_22,:11/13_22_0,0,13.50,"1679.95,1975.82 1678.40,1978.40 1674.34,1980.84 1668.65,1981.65",13.90
626,:4/1_1,:4/1_1_2,2,22.70,"628.35,191.35 628.35,184.61 628.35,180.00 628.35,175.39 628.35,168.65",13.90
627,:4/1_0,:4/1_0_0,0,5.00,"621.75,191.35 621.56,189.99 620.98,189.03 620.01,188.44 618.65,188.25",13.90
628,:11/4_19,:11/4_19_0,0,4.82,"1668.65,628.35 1669.89,629.18 1670.30,630.00 1669.89,630.83 1668.65,631.65",13.90
629,:11/4_18,:11/4_18_0,0,20.97,"1668.65,628.35 1674.34,629.16 1678.40,631.60 1680.84,635.66 1681.65,641.35",13.90
630,:11/4_11,:11/4_11_2,2,22.70,"1681.65,618.65 1681.65,625.39 1681.65,630.00 1681.65,634.61 1681.65,641.35",13.90
631,:11/4_10,:11/4_10_0,0,5.00,"1688.25,618.65 1688.44,620.01 1689.03,620.98 1689.99,621.56 1691.35,621.75",13.90
632,:11/4_17,:11/4_17_0,0,22.70,"1668.65,625.05 1675.39,625.05 1680.00,625.05 1684.61,625.05 1691.35,625.05",13.90
633,:11/4_16,:11/4_16_0,0,5.00,"1668.65,621.75 1670.01,621.56 1670.97,620.98 1671.56,620.01 1671.75,618.65",13.90
634,:11/4_15,:11/4_15_0,0,2.41,"1681.65,618.65 1680.82,619.89 1680.00,620.30",13.90
635,:11/4_14,:11/4_14_0,0,7.47,"1681.65,618.65 1680.84,624.34 1679.95,625.82",13.90
636,:15/11_0,:15/11_0_0,0,5.00,"2271.75,1691.35 2271.56,1689.99 2270.97,1689.03 2270.01,1688.44 2268.65,1688.25",13.90
637,:15/11_1,:15/11_1_2,2,22.70,"2278.35,1691.35 2278.35,1684.61 2278.35,1680.00 2278.35,1675.39 2278.35,1668.65",13.90
638,7/5to7/4,7/5to7/4_2,2,127.30,"1078.35,768.65 1078.35,641.35",13.90
639,:15/11_4,:15/11_4_0,0,7.47,"2278.35,1691.35 2279.16,1685.66 2280.05,1684.18",13.90
640,:15/11_5,:15/11_5_0,0,2.41,"2278.35,1691.35 2279.17,1690.11 2280.00,1689.70",13.90
641,:15/11_6,:15/11_6_0,0,5.00,"2291.35,1688.25 2289.99,1688.44 2289.03,1689.03 2288.44,1689.99 2288.25,1691.35",13.90
642,:15/11_7,:15/11_7_0,0,22.70,"2291.35,1684.95 2284.61,1684.95 2280.00,1684.95 2275.39,1684.95 2268.65,1684.95",13.90
643,:15/11_8,:15/11_8_0,0,20.97,"2291.35,1681.65 2285.66,1680.84 2281.60,1678.40 2279.16,1674.34 2278.35,1668.65",13.90
644,:15/11_9,:15/11_9_0,0,4.82,"2291.35,1681.65 2290.11,1680.82 2289.70,1680.00 2290.11,1679.18 2291.35,1678.35",13.90
645,:6/9_7,:6/9_7_0,0,22.70,"941.35,1384.95 934.61,1384.95 930.00,1384.95 925.39,1384.95 918.65,1384.95",13.90
646,:6/9_6,:6/9_6_0,0,5.00,"941.35,1388.25 939.99,1388.44 939.02,1389.03 938.44,1389.99 938.25,1391.35",13.90
647,:6/9_5,:6/9_5_0,0,2.41,"928.35,1391.35 929.17,1390.11 930.00,1389.70",13.90
648,:6/9_4,:6/9_4_0,0,7.47,"928.35,1391.35 929.16,1385.66 930.05,1384.18",13.90
649,:6/9_1,:6/9_1_2,2,22.70,"928.35,1391.35 928.35,1384.61 928.35,1380.00 928.35,1375.39 928.35,1368.65",13.90
650,:6/9_0,:6/9_0_0,0,5.00,"921.75,1391.35 921.56,1389.99 920.98,1389.03 920.01,1388.44 918.65,1388.25",13.90
651,:6/9_9,:6/9_9_0,0,4.82,"941.35,1381.65 940.11,1380.82 939.70,1380.00 940.11,1379.18 941.35,1378.35",13.90
652,:6/9_8,:6/9_8_0,0,20.97,"941.35,1381.65 935.66,1380.84 931.60,1378.40 929.16,1374.34 928.35,1368.65",13.90
653,:11/2_11,:11/2_11_2,2,22.70,"1681.65,318.65 1681.65,325.39 1681.65,330.00 1681.65,334.61 1681.65,341.35",13.90
654,:11/2_10,:11/2_10_0,0,5.00,"1688.25,318.65 1688.44,320.01 1689.03,320.98 1689.99,321.56 1691.35,321.75",13.90
655,:11/2_15,:11/2_15_0,0,2.41,"1681.65,318.65 1680.82,319.89 1680.00,320.30",13.90
656,:11/2_14,:11/2_14_0,0,7.47,"1681.65,318.65 1680.84,324.34 1679.95,325.82",13.90
657,:11/2_17,:11/2_17_0,0,22.70,"1668.65,325.05 1675.39,325.05 1680.00,325.05 1684.61,325.05 1691.35,325.05",13.90
658,:11/2_16,:11/2_16_0,0,5.00,"1668.65,321.75 1670.01,321.56 1670.97,320.98 1671.56,320.01 1671.75,318.65",13.90
659,:11/2_19,:11/2_19_0,0,4.82,"1668.65,328.35 1669.89,329.17 1670.30,330.00 1669.89,330.82 1668.65,331.65",13.90
660,:11/2_18,:11/2_18_0,0,20.97,"1668.65,328.35 1674.34,329.16 1678.40,331.60 1680.84,335.66 1681.65,341.35",13.90
661,:3/1_21,:3/1_21_0,0,2.41,"480.00,189.70 480.82,190.11 481.65,191.35",13.90
662,:3/1_20,:3/1_20_0,0,13.50,"480.05,184.18 481.60,181.60 485.66,179.16 491.35,178.35",13.90
663,:3/1_23,:3/1_23_0,0,2.41,"480.00,170.30 479.18,169.89 478.35,168.65",13.90
664,:3/1_22,:3/1_22_0,0,13.50,"479.95,175.82 478.40,178.40 474.34,180.84 468.65,181.65",13.90
665,:10/6_11,:10/6_11_2,2,22.70,"1531.65,918.65 1531.65,925.39 1531.65,930.00 1531.65,934.61 1531.65,941.35",13.90
666,:11/0_17,:11/0_17_0,0,22.70,"1668.65,25.05 1675.39,25.05 1680.00,25.05 1684.61,25.05 1691.35,25.05",13.90
667,:11/0_16,:11/0_16_0,0,5.00,"1668.65,21.75 1670.01,21.56 1670.97,20.98 1671.56,20.01 1671.75,18.65",13.90
668,:11/0_15,:11/0_15_0,0,2.41,"1681.65,18.65 1680.82,19.89 1680.00,20.30",13.90
669,:11/0_14,:11/0_14_0,0,7.47,"1681.65,18.65 1680.84,24.34 1679.95,25.82",13.90
670,:11/0_11,:11/0_11_2,2,22.70,"1681.65,18.65 1681.65,25.39 1681.65,30.00 1681.65,34.61 1681.65,41.35",13.90
671,:11/0_10,:11/0_10_0,0,5.00,"1688.25,18.65 1688.44,20.01 1689.03,20.98 1689.99,21.56 1691.35,21.75",13.90
672,:11/0_19,:11/0_19_0,0,4.82,"1668.65,28.35 1669.89,29.17 1670.30,30.00 1669.89,30.82 1668.65,31.65",13.90
673,:11/0_18,:11/0_18_0,0,20.97,"1668.65,28.35 1674.34,29.16 1678.40,31.60 1680.84,35.66 1681.65,41.35",13.90
674,3/11to4/11,3/11to4/11_2,2,127.30,"491.35,1678.35 618.65,1678.35",13.90
675,6/3to7/3,6/3to7/3_2,2,127.30,"941.35,478.35 1068.65,478.35",13.90
676,:15/13_21,:15/13_21_0,0,2.41,"2280.00,1989.70 2280.83,1990.11 2281.65,1991.35",13.90
677,:4/9_21,:4/9_21_0,0,2.41,"630.00,1389.70 630.83,1390.11 631.65,1391.35",13.90
678,:15/13_23,:15/13_23_0,0,2.41,"2280.00,1970.30 2279.17,1969.89 2278.35,1968.65",13.90
679,15/5toright5,15/5toright5_2,2,18.65,"2291.35,778.35 2310.00,778.35",13.90
680,:15/13_22,:15/13_22_0,0,13.50,"2279.95,1975.82 2278.40,1978.40 2274.34,1980.84 2268.65,1981.65",13.90
681,:13/7_21,:13/7_21_0,0,2.41,"1980.00,1089.70 1980.83,1090.11 1981.65,1091.35",13.90
